Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
401_1GHz	1.610247					0.014675					0.000077	0.282157
401Results	1.679650					0.014798					0.000077	0.282163
401_3GHz	1.753291					0.014932					0.000077	0.282166
429_1GHz	1.279422					0.002108					0.023627	0.055046
429Results	1.299095					0.002108					0.023612	0.055046
429_3GHz	1.317329					0.002108					0.023609	0.055046
456_1GHz	1.185304					0.001629					0.000221	0.077747
456Results	1.187917					0.001637					0.000221	0.077760
456_3GHz	1.190581					0.001637					0.000221	0.077761
458_1GHz	7.040561					0.121831					0.000020	0.999972
458Results	10.270554					0.121831					0.000020	0.999972
458_3GHz	13.508136					0.121831					0.000020	0.999972
470_1GHz	2.623265					0.060971					0.000094	0.999944
470Results	3.493415					0.060972					0.000094	0.999944
470_3GHz	4.397377					0.060972					0.000094	0.999944
